19:33:55:003 [ALWAYS]	GUDE Logging Started
19:33:55:003 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:33:55:003 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:33:55:003 [ERROR]	Initialize resume cache pointer failure
19:33:55:003 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
19:33:55:003 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
19:34:01:101 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
19:34:01:101 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:34:01:101 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:34:01:101 [ERROR]	Initialize resume cache pointer failure
19:34:01:101 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
19:34:01:101 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
