13:11:13:772 [ALWAYS]	GUDE Logging Started
13:11:13:773 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
13:11:13:773 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
13:11:13:773 [ERROR]	Initialize resume cache pointer failure
13:11:13:773 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
13:11:13:773 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
13:11:25:094 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
13:11:25:094 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
13:11:25:095 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
13:11:25:095 [ERROR]	Initialize resume cache pointer failure
13:11:25:095 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
13:11:25:095 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
